Title,Original Title,Original Language,TMDB ID,IMDB ID,Runtime,Genre(s),Release Date,Revenue,Budget,Status,Tagline,Overview,Production Companies,Production Countries,Spoken Language(s),Collection Title,Collection Name,Collection Release Date,Is Video,Is Adult
Deadpool 2,Deadpool 2,en,383498,tt5463162,120,"[""Action"",""Comedy"",""Adventure""]",2018-05-10,785896632,110000000,Released,Prepare for the Second Coming.,Wisecracking mercenary Deadpool battles the evil and powerful Cable and other bad guys to save a boy's life.,"[{""name"":""Maximum Effort"",""originCountry"":""US""},{""name"":""Genre Films"",""originCountry"":""US""},{""name"":""20th Century Fox"",""originCountry"":""US""},{""name"":""Marvel Entertainment"",""originCountry"":""US""}]","[{""name"":""United States of America"",""iso31661"":""US""}]","[{""name"":""广州话 / 廣州話"",""iso31661"":""cn""},{""name"":""English"",""iso31661"":""en""},{""name"":""Pусский"",""iso31661"":""ru""},{""name"":""Español"",""iso31661"":""es""}]",Deadpool Collection,Deadpool Collection,,false,false
Death Walks at Midnight,La morte accarezza a mezzanotte,it,91255,tt0068971,102,"[""Mystery"",""Thriller"",""Crime"",""Horror""]",1972-11-17,0,0,Released,The Steel Claw of Death...,"Valentina, a beautiful fashion model, takes an experimental drug as part of a scientific experiment. While influenced by the drug, Valentina has a vision of a young woman being brutally murdered with a viciously spiked glove. It turns out that a woman was killed in exactly the same way not long ago and soon Valentina finds herself stalked by the same killer.","[{""name"":""Cinecompany"",""originCountry"":""IT""},{""name"":""C.B. Films S.A."",""originCountry"":""""}]","[{""name"":""Spain"",""iso31661"":""ES""},{""name"":""Italy"",""iso31661"":""IT""}]","[{""name"":""Italiano"",""iso31661"":""it""}]",,,,false,false
Death Walks on High Heels,La morte cammina con i tacchi alti,it,77029,tt0067446,108,"[""Mystery"",""Thriller"",""Horror""]",1971-11-30,0,0,Released,,"Exotic dancer Nicole finds herself terrorized by a black-clad assailant determined on procuring her murdered father's stolen gems. Fleeing Paris in hopes of evading her knife-wielding pursuer, Nicole arrives in England only to discover that death stalks her at every corner.","[{""name"":""Cinecompany"",""originCountry"":""IT""},{""name"":""Atlántida Films"",""originCountry"":""ES""}]","[{""name"":""Spain"",""iso31661"":""ES""},{""name"":""Italy"",""iso31661"":""IT""}]","[{""name"":""Italiano"",""iso31661"":""it""}]",,,,false,false
Diamonds Are Forever,Diamonds Are Forever,en,681,tt0066995,120,"[""Action"",""Thriller""]",1971-12-14,116019547,7200000,Released,The man who made 007 a household number.,Diamonds are stolen only to be sold again in the international market. James Bond infiltrates a smuggling mission to find out who's guilty. The mission takes him to Las Vegas where Bond meets his archenemy Blofeld.,"[{""name"":""EON Productions"",""originCountry"":""GB""}]","[{""name"":""United Kingdom"",""iso31661"":""GB""}]","[{""name"":""English"",""iso31661"":""en""},{""name"":""Deutsch"",""iso31661"":""de""}]",James Bond Collection,James Bond Collection,,false,false
Die Another Day,Die Another Day,en,36669,tt0246460,133,"[""Adventure"",""Action"",""Thriller""]",2002-11-17,431971116,140000000,Released,He's never been cooler.,"James Bond is sent to investigate the connection between a North Korean terrorist and a diamond mogul, who is funding the development of an international space weapon.","[{""name"":""EON Productions"",""originCountry"":""GB""},{""name"":""Metro-Goldwyn-Mayer"",""originCountry"":""US""},{""name"":""Danjaq"",""originCountry"":""US""},{""name"":""United Artists"",""originCountry"":""US""},{""name"":""KanZaman Productions"",""originCountry"":""ES""}]","[{""name"":""Spain"",""iso31661"":""ES""},{""name"":""United Kingdom"",""iso31661"":""GB""},{""name"":""United States of America"",""iso31661"":""US""}]","[{""name"":""English"",""iso31661"":""en""},{""name"":""한국어/조선말"",""iso31661"":""ko""},{""name"":""广州话 / 廣州話"",""iso31661"":""cn""},{""name"":""Deutsch"",""iso31661"":""de""},{""name"":""Español"",""iso31661"":""es""},{""name"":""Íslenska"",""iso31661"":""is""},{""name"":""Italiano"",""iso31661"":""it""}]",James Bond Collection,James Bond Collection,,false,false
Die Hard,Die Hard,en,562,tt0095016,132,"[""Action"",""Thriller""]",1988-07-15,140767956,28000000,Released,Twelve terrorists. One cop. The odds are against John McClane... That's just the way he likes it.,"NYPD cop John McClane's plan to reconcile with his estranged wife is thrown for a serious loop when, minutes after he arrives at her office, the entire building is overtaken by a group of terrorists. With little help from the LAPD, wisecracking McClane sets out to single-handedly rescue the hostages and bring the bad guys down.","[{""name"":""Gordon Company"",""originCountry"":""US""},{""name"":""Silver Pictures"",""originCountry"":""US""},{""name"":""20th Century Fox"",""originCountry"":""US""}]","[{""name"":""United States of America"",""iso31661"":""US""}]","[{""name"":""English"",""iso31661"":""en""},{""name"":""Deutsch"",""iso31661"":""de""},{""name"":""Italiano"",""iso31661"":""it""}]",Die Hard Collection,Die Hard Collection,,false,false
District 9,District 9,en,17654,tt1136608,112,"[""Science Fiction""]",2009-08-05,210800000,30000000,Released,You are not welcome here.,"Thirty years ago, aliens arrive on Earth. Not to conquer or give aid, but to find refuge from their dying planet. Separated from humans in a South African area called District 9, the aliens are managed by Multi-National United, which is unconcerned with the aliens' welfare but will do anything to master their advanced technology. When a company field agent contracts a mysterious virus that begins to alter his DNA, there is only one place he can hide: District 9.","[{""name"":""TriStar Pictures"",""originCountry"":""US""},{""name"":""Block / Hanson"",""originCountry"":""US""},{""name"":""WingNut Films"",""originCountry"":""NZ""},{""name"":""District 9"",""originCountry"":""""}]","[{""name"":""New Zealand"",""iso31661"":""NZ""},{""name"":""South Africa"",""iso31661"":""ZA""},{""name"":""United States of America"",""iso31661"":""US""}]","[{""name"":""Afrikaans"",""iso31661"":""af""},{""name"":"""",""iso31661"":""ny""},{""name"":"""",""iso31661"":""st""},{""name"":"""",""iso31661"":""xh""},{""name"":""isiZulu"",""iso31661"":""zu""},{""name"":""English"",""iso31661"":""en""}]",,,,false,false
Django,Django,it,10772,tt0060315,93,"[""Action"",""Western""]",1966-04-06,17277,0,Released,The movie that spawned a genre.,A coffin-dragging gunslinger and a prostitute become embroiled in a bitter feud between a merciless masked clan and a band of Mexican revolutionaries.,"[{""name"":""Tecisa Film"",""originCountry"":""ES""},{""name"":""B.R.C. Produzione Film"",""originCountry"":""IT""}]","[{""name"":""Italy"",""iso31661"":""IT""},{""name"":""Spain"",""iso31661"":""ES""}]","[{""name"":""Italiano"",""iso31661"":""it""}]",Django Collection,Django Collection,,false,false
Django Unchained,Django Unchained,en,68718,tt1853728,165,"[""Drama"",""Western""]",2012-12-25,425368238,100000000,Released,"Life, liberty, and the pursuit of vengeance.","With the help of a German bounty hunter, a freed slave sets out to rescue his wife from a brutal Mississippi plantation owner.","[{""name"":""The Weinstein Company"",""originCountry"":""US""},{""name"":""Columbia Pictures"",""originCountry"":""US""}]","[{""name"":""United States of America"",""iso31661"":""US""}]","[{""name"":""English"",""iso31661"":""en""},{""name"":""Français"",""iso31661"":""fr""},{""name"":""Deutsch"",""iso31661"":""de""}]",,,,false,false
Dolls,Dolls,en,24341,tt0092906,77,"[""Fantasy"",""Horror""]",1987-03-12,0,0,Released,"They're cute, they're cuddly... and they kill!","A precocious girl, her nasty parents, two punk-rock losers and a weak-kneed salesman inadvertently become the guests of two ghoulish senior citizens in their dark, haunted mansion.","[{""name"":""Empire Pictures"",""originCountry"":""US""},{""name"":""Taryn Productions Inc."",""originCountry"":""""}]","[{""name"":""Italy"",""iso31661"":""IT""},{""name"":""United States of America"",""iso31661"":""US""}]","[{""name"":""English"",""iso31661"":""en""}]",,,,false,false
Donnie Darko,Donnie Darko,en,141,tt0246578,114,"[""Fantasy"",""Drama"",""Mystery""]",2001-01-19,7500000,4500000,Released,YOU CAN NEVER GO TOO FAR.,"After narrowly escaping a bizarre accident, a troubled teenager is plagued by visions of a large bunny rabbit that manipulates him to commit a series of crimes.","[{""name"":""Flower Films"",""originCountry"":""US""},{""name"":""Gaylord Films"",""originCountry"":""""},{""name"":""Adam Fields Productions"",""originCountry"":""""},{""name"":""Pandora Cinema"",""originCountry"":""""}]","[{""name"":""United States of America"",""iso31661"":""US""}]","[{""name"":""English"",""iso31661"":""en""}]",Darko Collection,Darko Collection,,false,false
Dr. No,Dr. No,en,646,tt0055928,110,"[""Adventure"",""Action"",""Thriller""]",1962-10-07,59567035,1200000,Released,Now meet the most extraordinary gentleman spy in all fiction!,"Agent 007 battles mysterious Dr. No, a scientific genius bent on destroying the U.S. space program. As the countdown to disaster begins, Bond must go to Jamaica, where he encounters beautiful Honey Ryder, to confront a megalomaniacal villain in his massive island headquarters.","[{""name"":""EON Productions"",""originCountry"":""GB""}]","[{""name"":""United Kingdom"",""iso31661"":""GB""}]","[{""name"":""English"",""iso31661"":""en""},{""name"":""Français"",""iso31661"":""fr""}]",James Bond Collection,James Bond Collection,,false,false
Dragon Fist,龍拳,zh,46124,tt0079484,97,"[""Action"",""Drama""]",1979-04-21,0,0,Released,,"After the death of his master, martial arts student Tong Huo-wan travels with his adoptive family to seek redress from the man responsible but finds himself torn between righteousness and filial piety after becoming entangled in a feud between a local clan and gangsters.","[{""name"":""Lo Wei Motion Picture Company"",""originCountry"":""HK""}]","[{""name"":""Hong Kong"",""iso31661"":""HK""},{""name"":""Taiwan"",""iso31661"":""TW""}]","[{""name"":""广州话 / 廣州話"",""iso31661"":""cn""},{""name"":""普通话"",""iso31661"":""zh""}]",,,,false,false
Dragon Lord,龍少爺,cn,16407,tt0084266,102,"[""Action"",""Comedy""]",1982-01-21,0,0,Released,Fists and fun fly fast and furious when the Dragon Lord fights to save his nation's treasure.,"Dragon and his madcap pal Cowboy spend their days getting into mischief, frustrating the elders, chasing girls, and competing in the village sport. When Dragon overhears a fiendish plot by smugglers to sell China's national treasures overseas, the pair leap into action. Also, Cowboy's wealthy father is kidnapped by the villainous and lethal Big Boss, and the scene is set for a furious martial arts showdown.","[{""name"":""Paragon Films Ltd."",""originCountry"":""HK""},{""name"":""Orange Sky Golden Harvest"",""originCountry"":""HK""},{""name"":""Lo Wei Motion Picture Company"",""originCountry"":""HK""},{""name"":""Authority Films Ltd."",""originCountry"":""HK""}]","[{""name"":""Hong Kong"",""iso31661"":""HK""}]","[{""name"":""广州话 / 廣州話"",""iso31661"":""cn""}]",,,,false,false
Dredd,Dredd,en,49049,tt1343727,95,"[""Action"",""Science Fiction""]",2012-09-07,41037742,50000000,Released,Judgement is coming.,"In the future, America is a dystopian wasteland. The latest scourge is Ma-Ma, a prostitute-turned-drug pusher with a dangerous new drug and aims to take over the city. The only possibility of stopping her is an elite group of urban police called Judges, who combine the duties of judge, jury and executioner to deliver a brutal brand of swift justice. But even the top-ranking Judge, Dredd, discovers that taking down Ma-Ma isn’t as easy as it seems in this explosive adaptation of the hugely popular comic series.","[{""name"":""Rena Film"",""originCountry"":""""},{""name"":""DNA Films"",""originCountry"":""GB""},{""name"":""Reliance Big Entertainment"",""originCountry"":""""},{""name"":""IM Global"",""originCountry"":""US""},{""name"":""Peach Trees"",""originCountry"":""""}]","[{""name"":""South Africa"",""iso31661"":""ZA""},{""name"":""United Kingdom"",""iso31661"":""GB""},{""name"":""United States of America"",""iso31661"":""US""},{""name"":""India"",""iso31661"":""IN""}]","[{""name"":""English"",""iso31661"":""en""}]",,,,false,false
Drunken Master,醉拳,cn,11230,tt0080179,111,"[""Action"",""Comedy""]",1978-10-05,0,0,Released,The Original Kung Fu Comedy!,"After being punished for getting into trouble, a mischievous young man is sent to train under a brutal, but slovenly old beggar, who teaches him the secret of the Drunken Fist.","[{""name"":""Seasonal Film Corporation"",""originCountry"":""HK""}]","[{""name"":""Hong Kong"",""iso31661"":""HK""}]","[{""name"":""广州话 / 廣州話"",""iso31661"":""cn""}]",Drunken Master Collection,Drunken Master Collection,,false,false
Barbra Streisand: Becoming an Icon 1942–1984,"Barbra Streisand, naissance d'une diva 1942–1984",fr,276563,tt6862434,60,"[""Music"",""Documentary""]",2017-04-16,0,0,Released,,"Barbra Streisand grew up in working class Brooklyn, dreaming of escape from her tough childhood. A stellar student, she resisted the pressure to go to college as her sights were firmly set on Broadway. She was determined to become an actress and landed her first role aged 16, but it was two years later, when she started to sing, that her career took off.  Subverting stereotypes and breaking glass ceilings, this programme looks at her rise to stardom and the remarkable achievements of her early career.","[{""name"":""Roche Productions"",""originCountry"":""FR""},{""name"":""ARTE"",""originCountry"":""DE""}]","[{""name"":""France"",""iso31661"":""FR""}]","[{""name"":""Français"",""iso31661"":""fr""}]",,,,false,false
